x,y,u,v,p
0,0,0,0,0.1038603
0.02,0,0,0,0.103871
0.04,0,0,0,0.1038261
0.06,0,0,0,0.1037062
0.08,0,0,0,0.1035301
0.1,0,0,0,0.1033156
0.12,0,0,0,0.1030751
0.14,0,0,0,0.1028161
0.16,0,0,0,0.1025429
0.18,0,0,0,0.1022584
0.2,0,0,0,0.1019651
0.22,0,0,0,0.1016666
0.24,0,0,0,0.1013675
0.26,0,0,0,0.1010743
0.28,0,0,0,0.1007946
0.3,0,0,0,0.1005378
0.32,0,0,0,0.1003143
0.34,0,0,0,0.1001351
0.36,0,0,0,0.1000112
0.38,0,0,0,0.09995295
0.4,0,0,0,0.0999689
0.42,0,0,0,0.1000651
0.44,0,0,0,0.1002438
0.46,0,0,0,0.1005029
0.48,0,0,0,0.1008349
0.5,0,0,0,0.1012266
0.52,0,0,0,0.1016592
0.54,0,0,0,0.1021088
0.56,0,0,0,0.1025478
0.58,0,0,0,0.1029465
0.6,0,0,0,0.1032752
0.62,0,0,0,0.1035066
0.64,0,0,0,0.1036187
0.66,0,0,0,0.1035965
0.68,0,0,0,0.1034336
0.7,0,0,0,0.1031333
0.72,0,0,0,0.1027081
0.74,0,0,0,0.1021788
0.76,0,0,0,0.1015721
0.78,0,0,0,0.1009187
0.8,0,0,0,0.1002505
0.82,0,0,0,0.09959804
0.84,0,0,0,0.09898875
0.86,0,0,0,0.09844588
0.88,0,0,0,0.09798813
0.9,0,0,0,0.09762997
0.92,0,0,0,0.09738214
0.94,0,0,0,0.09725101
0.96,0,0,0,0.09723405
0.98,0,0,0,0.09730276
1,0,0,0,0.09735461
0,0.02,0,0,0.1038498
0.02,0.02,0.00014379,-0.000143378,0.1038603
0.04,0.02,0.000363517,-0.000134609,0.1038157
0.06,0.02,0.000467836,-3.66253E-05,0.1037108
0.08,0.02,0.000360118,9.2799E-05,0.1035568
0.1,0.02,1.02575E-05,0.000225333,0.1033665
0.12,0.02,-0.000579104,0.00035016,0.1031497
0.14,0.02,-0.001393847,0.000465391,0.102913
0.16,0.02,-0.002419227,0.000572935,0.102661
0.18,0.02,-0.003643971,0.000675527,0.1023965
0.2,0.02,-0.005060388,0.000775126,0.1021226
0.22,0.02,-0.006662391,0.000872203,0.1018426
0.24,0.02,-0.008442723,0.000965575,0.101561
0.26,0.02,-0.01039011,0.001052533,0.1012835
0.28,0.02,-0.01248682,0.001129119,0.1010172
0.3,0.02,-0.0147067,0.001190446,0.1007704
0.32,0.02,-0.01701396,0.001231054,0.1005526
0.34,0.02,-0.01936258,0.001245267,0.1003738
0.36,0.02,-0.02169643,0.001227586,0.1002439
0.38,0.02,-0.02395024,0.001173115,0.1001726
0.4,0.02,-0.02605126,0.001078007,0.1001678
0.42,0.02,-0.02792186,0.000939937,0.1002354
0.44,0.02,-0.02948283,0.000758538,0.1003778
0.46,0.02,-0.03065736,0.000535777,0.1005934
0.48,0.02,-0.03137556,0.000276229,0.1008756
0.5,0.02,-0.03157919,-1.28121E-05,0.1012128
0.52,0.02,-0.03122623,-0.000321415,0.1015881
0.54,0.02,-0.03029525,-0.00063732,0.1019797
0.56,0.02,-0.02878865,-0.000946491,0.1023627
0.58,0.02,-0.02673485,-0.001233901,0.1027097
0.6,0.02,-0.02418899,-0.00148452,0.1029935
0.62,0.02,-0.02123174,-0.001684436,0.1031894
0.64,0.02,-0.01796609,-0.00182201,0.1032771
0.66,0.02,-0.01451253,-0.001888963,0.1032429
0.68,0.02,-0.01100239,-0.00188122,0.1030811
0.7,0.02,-0.007570081,-0.001799436,0.102795
0.72,0.02,-0.004344897,-0.001649063,0.102396
0.74,0.02,-0.001442943,-0.001439931,0.1019033
0.76,0.02,0.001039875,-0.001185386,0.1013417
0.78,0.02,0.003033127,-0.000901058,0.1007391
0.8,0.02,0.004494986,-0.00060346,0.1001245
0.82,0.02,0.005412994,-0.000308658,0.09952581
0.84,0.02,0.005802837,-3.12539E-05,0.09896763
0.86,0.02,0.005705785,0.000216002,0.09847073
0.88,0.02,0.005186125,0.000421717,0.09805143
0.9,0.02,0.00433014,0.000574243,0.09772175
0.92,0.02,0.003248506,0.000658849,0.09748951
0.94,0.02,0.002083215,0.000654064,0.0973575
0.96,0.02,0.001016809,0.000530072,0.09731998
0.98,0.02,0.000267083,0.000266731,0.09735455
1,0.02,0,0,0.09740648
0,0.04,0,0,0.1038967
0.02,0.04,0.000130753,-0.000360156,0.1039048
0.04,0.04,0.000243152,-0.00025605,0.1038577
0.06,0.04,9.60697E-05,9.83628E-05,0.1037595
0.08,0.04,-0.000429201,0.000552698,0.1036207
0.1,0.04,-0.001375849,0.001024353,0.1034504
0.12,0.04,-0.002745651,0.001477579,0.1032557
0.14,0.04,-0.00452291,0.00190335,0.1030417
0.16,0.04,-0.006688199,0.002304932,0.1028116
0.18,0.04,-0.009223963,0.002688641,0.102568
0.2,0.04,-0.01211466,0.003058577,0.1023133
0.22,0.04,-0.01534383,0.003414127,0.1020506
0.24,0.04,-0.01888995,0.003749306,0.1017837
0.26,0.04,-0.02272218,0.004053153,0.1015176
0.28,0.04,-0.02679676,0.004310693,0.1012586
0.3,0.04,-0.03105445,0.004504142,0.1010142
0.32,0.04,-0.03541921,0.004614247,0.1007929
0.34,0.04,-0.03979815,0.004621676,0.1006041
0.36,0.04,-0.0440829,0.00450848,0.1004573
0.38,0.04,-0.04815231,0.004259618,0.100362
0.4,0.04,-0.05187641,0.00386446,0.1003263
0.42,0.04,-0.05512159,0.003318237,0.1003565
0.44,0.04,-0.05775663,0.002623296,0.1004559
0.46,0.04,-0.0596594,0.00179004,0.1006241
0.48,0.04,-0.06072386,0.000837464,0.1008561
0.5,0.04,-0.0608668,-0.000206862,0.1011418
0.52,0.04,-0.06003402,-0.001307387,0.101466
0.54,0.04,-0.05820561,-0.002421859,0.101809
0.56,0.04,-0.05539961,-0.003503226,0.1021471
0.58,0.04,-0.05167396,-0.00450216,0.1024547
0.6,0.04,-0.04712646,-0.00537008,0.1027059
0.62,0.04,-0.04189233,-0.006062467,0.1028767
0.64,0.04,-0.03613933,-0.006542248,0.1029476
0.66,0.04,-0.0300608,-0.006782944,0.1029053
0.68,0.04,-0.02386647,-0.006771181,0.1027445
0.7,0.04,-0.01777171,-0.006508294,0.102468
0.72,0.04,-0.01198606,-0.006010695,0.1020872
0.74,0.04,-0.006701581,-0.005308863,0.1016204
0.76,0.04,-0.002082165,-0.00444502,0.1010915
0.78,0.04,0.001745264,-0.003469676,0.1005272
0.8,0.04,0.004697035,-0.002437554,0.09995474
0.82,0.04,0.006735979,-0.001403561,0.09940003
0.84,0.04,0.007871936,-0.000419535,0.09888551
0.86,0.04,0.008160053,0.000467267,0.0984294
0.88,0.04,0.007698311,0.001213217,0.09804531
0.9,0.04,0.006625962,0.00177442,0.09774243
0.92,0.04,0.005124321,0.00210017,0.09752593
0.94,0.04,0.003419864,0.002126456,0.09739716
0.96,0.04,0.001785613,0.001779194,0.09735336
0.98,0.04,0.000533439,0.001018501,0.09738842
1,0.04,0,0,0.09747497
0,0.06,0,0,0.1040249
0.02,0.06,6.03461E-06,-0.00043307,0.1040121
0.04,0.06,-0.000208393,-7.40189E-05,0.1039508
0.06,0.06,-0.000860944,0.0006986,0.103849
0.08,0.06,-0.002052268,0.001640395,0.1037157
0.1,0.06,-0.003815677,0.002615089,0.1035573
0.12,0.06,-0.006149245,0.003560707,0.1033783
0.14,0.06,-0.009036022,0.004459259,0.1031813
0.16,0.06,-0.01245494,0.005313383,0.1029682
0.18,0.06,-0.01638448,0.006130529,0.1027402
0.2,0.06,-0.02080128,0.006913604,0.1024987
0.22,0.06,-0.02567617,0.00765652,0.102246
0.24,0.06,-0.03096911,0.008343078,0.101985
0.26,0.06,-0.03662456,0.008947912,0.10172
0.28,0.06,-0.04256786,0.009438554,0.1014565
0.3,0.06,-0.0487032,0.009778065,0.1012016
0.32,0.06,-0.05491336,0.009927927,0.1009633
0.34,0.06,-0.0610612,0.009851025,0.100751
0.36,0.06,-0.06699289,0.009514676,0.1005745
0.38,0.06,-0.07254288,0.008893582,0.1004438
0.4,0.06,-0.07754,0.007972564,0.1003682
0.42,0.06,-0.0818146,0.006748968,0.1003552
0.44,0.06,-0.08520626,0.005234491,0.1004099
0.46,0.06,-0.0875715,0.003456313,0.1005333
0.48,0.06,-0.08879125,0.001457389,0.1007223
0.5,0.06,-0.08877756,-0.000704206,0.1009682
0.52,0.06,-0.08747929,-0.00295689,0.1012572
0.54,0.06,-0.08488655,-0.005218213,0.1015703
0.56,0.06,-0.0810336,-0.007398407,0.1018845
0.58,0.06,-0.07600002,-0.009404832,0.1021743
0.6,0.06,-0.06991017,-0.01114713,0.1024135
0.62,0.06,-0.06293046,-0.01254279,0.1025777
0.64,0.06,-0.05526439,-0.01352287,0.1026467
0.66,0.06,-0.04714552,-0.01403735,0.1026065
